pays,code_pays,annee,produit,code_produit,nature,dispo_int,production,importation,exportation,variation_stock
Afghanistan,2,2012,Ananas,2618,végétal,0.0,,0.0,,
Afghanistan,2,2012,Dattes,2619,végétal,9.0,,9.0,,
Afghanistan,2,2012,Raisin,2620,végétal,502.0,590.0,,88.0,0.0
Afghanistan,2,2012,"Fruits, Autres",2625,végétal,252.0,276.0,6.0,29.0,0.0
Afghanistan,2,2012,Café,2630,végétal,0.0,,0.0,,
Afghanistan,2,2012,Feve de Cacao,2633,végétal,1.0,,1.0,,
Afghanistan,2,2012,Thé,2635,végétal,136.0,,136.0,,
Afghanistan,2,2012,Poivre,2640,végétal,0.0,,0.0,0.0,0.0
Afghanistan,2,2012,"Épices, Autres",2645,végétal,10.0,13.0,1.0,3.0,0.0
Afghanistan,2,2012,Vin,2655,végétal,0.0,,0.0,,
Afghanistan,2,2012,Bière,2656,végétal,3.0,,3.0,,
Afghanistan,2,2012,Boissons Alcooliques,2658,végétal,0.0,,0.0,,
Afghanistan,2,2012,Aliments pour enfants,2680,végétal,2.0,,2.0,,
Afghanistan,2,2012,Viande de Bovins,2731,animal,153.0,139.0,14.0,,
Afghanistan,2,2012,Viande d'Ovins/Caprins,2732,animal,155.0,155.0,,,
Afghanistan,2,2012,Viande de Volailles,2734,animal,47.0,25.0,22.0,,
Afghanistan,2,2012,"Viande, Autre",2735,animal,12.0,12.0,0.0,,
Afghanistan,2,2012,Abats Comestible,2736,animal,54.0,54.0,,,
Afghanistan,2,2012,Graisses Animales Crue,2737,animal,16.0,15.0,1.0,,
Afghanistan,2,2012,"Beurre, Ghee",2740,animal,35.0,35.0,0.0,,
Afghanistan,2,2012,Crème,2743,animal,4.0,,4.0,,
Afghanistan,2,2012,Oeufs,2744,animal,31.0,18.0,13.0,,
Afghanistan,2,2012,Miel,2745,végétal,2.0,2.0,0.0,0.0,
Afghanistan,2,2012,Poissons Eau Douce,2761,animal,2.0,2.0,0.0,,
Afghanistan,2,2012,Riz (Eq Blanchi),2805,végétal,463.0,334.0,130.0,,
Afghanistan,2,2012,Lait - Excl Beurre,2848,animal,2074.0,1845.0,229.0,0.0,
Afghanistan,2,2013,Blé,2511,végétal,5992.0,5169.0,1173.0,,-350.0
Afghanistan,2,2013,Orge,2513,végétal,524.0,514.0,10.0,,0.0
Afghanistan,2,2013,Maïs,2514,végétal,313.0,312.0,1.0,0.0,
Afghanistan,2,2013,Millet,2517,végétal,13.0,13.0,,,
Afghanistan,2,2013,"Céréales, Autres",2520,végétal,0.0,,0.0,,
Afghanistan,2,2013,Pommes de Terre,2531,végétal,262.0,303.0,0.0,41.0,
Afghanistan,2,2013,"Sucre, canne",2536,végétal,90.0,90.0,,,
Afghanistan,2,2013,"Sucre, betterave",2537,végétal,15.0,15.0,,,
Afghanistan,2,2013,Sucre Eq Brut,2542,végétal,255.0,2.0,271.0,,-19.0
Afghanistan,2,2013,Edulcorants Autres,2543,végétal,16.0,,16.0,,
Afghanistan,2,2013,Légumineuses Autres,2549,végétal,86.0,60.0,26.0,0.0,
Afghanistan,2,2013,Noix,2551,végétal,44.0,56.0,,12.0,
Afghanistan,2,2013,Graines de tournesol,2557,végétal,3.0,3.0,,,
Afghanistan,2,2013,Graines de coton,2559,végétal,27.0,27.0,,0.0,
Afghanistan,2,2013,Coco (Incl Coprah),2560,végétal,0.0,,0.0,,
Afghanistan,2,2013,Sésame,2561,végétal,21.0,32.0,,11.0,0.0
Afghanistan,2,2013,Olives,2563,végétal,7.0,7.0,,0.0,
Afghanistan,2,2013,"Plantes Oleiferes, Autre",2570,végétal,3.0,3.0,,0.0,
Afghanistan,2,2013,Huile de Soja,2571,végétal,16.0,,16.0,,
Afghanistan,2,2013,Huile d'Arachide,2572,végétal,0.0,,0.0,,
Afghanistan,2,2013,Huile de Tournesol,2573,végétal,23.0,1.0,22.0,,
Afghanistan,2,2013,Huile de Colza&Moutarde,2574,végétal,2.0,,2.0,,
Afghanistan,2,2013,Huile Graines de Coton,2575,végétal,5.0,5.0,,,
Afghanistan,2,2013,Huile de Palme,2577,végétal,119.0,,119.0,,
Afghanistan,2,2013,Huile de Sésame,2579,végétal,1.0,1.0,,,
Afghanistan,2,2013,Huile d'Olive,2580,végétal,1.0,1.0,0.0,,
Afghanistan,2,2013,Huil Plantes Oleif Autr,2586,végétal,361.0,1.0,360.0,,
Afghanistan,2,2013,Tomates,2601,végétal,0.0,,0.0,0.0,
Afghanistan,2,2013,"Légumes, Autres",2605,végétal,1007.0,916.0,124.0,34.0,
Afghanistan,2,2013,"Oranges, Mandarines",2611,végétal,145.0,6.0,139.0,0.0,
Afghanistan,2,2013,"Agrumes, Autres",2614,végétal,41.0,3.0,40.0,2.0,
Afghanistan,2,2013,Bananes,2615,végétal,82.0,,82.0,,
Afghanistan,2,2013,Pommes,2617,végétal,72.0,79.0,0.0,7.0,
Afghanistan,2,2013,Ananas,2618,végétal,0.0,,0.0,,
Afghanistan,2,2013,Dattes,2619,végétal,1.0,,1.0,,
Afghanistan,2,2013,Raisin,2620,végétal,513.0,611.0,,97.0,0.0
Afghanistan,2,2013,"Fruits, Autres",2625,végétal,240.0,304.0,4.0,69.0,1.0
Afghanistan,2,2013,Café,2630,végétal,0.0,,0.0,,
Afghanistan,2,2013,Feve de Cacao,2633,végétal,1.0,,1.0,,
Afghanistan,2,2013,Thé,2635,végétal,107.0,,107.0,,
Afghanistan,2,2013,Poivre,2640,végétal,0.0,,0.0,0.0,0.0
Afghanistan,2,2013,"Épices, Autres",2645,végétal,8.0,13.0,0.0,5.0,0.0
Afghanistan,2,2013,Vin,2655,végétal,0.0,,0.0,,
Afghanistan,2,2013,Bière,2656,végétal,3.0,,3.0,,
Afghanistan,2,2013,Boissons Alcooliques,2658,végétal,0.0,,0.0,,
Afghanistan,2,2013,Aliments pour enfants,2680,végétal,2.0,,2.0,,
Afghanistan,2,2013,Viande de Bovins,2731,animal,140.0,134.0,6.0,,
Afghanistan,2,2013,Viande d'Ovins/Caprins,2732,animal,150.0,150.0,,,
Afghanistan,2,2013,Viande de Volailles,2734,animal,75.0,26.0,48.0,,
Afghanistan,2,2013,"Viande, Autre",2735,animal,12.0,12.0,0.0,,
Afghanistan,2,2013,Abats Comestible,2736,animal,53.0,53.0,,,
Afghanistan,2,2013,Graisses Animales Crue,2737,animal,15.0,14.0,1.0,,
Afghanistan,2,2013,"Beurre, Ghee",2740,animal,36.0,36.0,0.0,,
Afghanistan,2,2013,Crème,2743,animal,18.0,,18.0,,
Afghanistan,2,2013,Oeufs,2744,animal,47.0,18.0,29.0,,
Afghanistan,2,2013,Miel,2745,végétal,2.0,2.0,0.0,0.0,
